English,Russian
metal,металл
method,метод/способ
middle,середина/средний
midnight,полночь
might,мощь/может
mile,миля
military,военный/армия
milk,молоко
mind,ум/возражать
mine,мой/шахта
mineral,минерал
minimum,минимум/минимальный
minister,министр
ministry,министерство
minor,незначительный/второстепенный
minority,меньшинство
minute,минута/мельчайший
mirror,зеркало
miss,скучать/пропускать
mission,миссия/задание
mistake,ошибка/ошибаться
mix,смешивать/смесь
mixed,смешанный
mixture,смесь
mobile,мобильный/подвижный
model,модель/образец
modern,современный
modify,модифицировать/изменять
moment,момент
money,деньги
monitor,монитор/контролировать
month,месяц
mood,настроение
moon,луна
moral,моральный/нравственный
more,больше/еще
moreover,более того
morning,утро
most,большинство/наиболее
mostly,в основном/большей частью
mother,мать
motion,движение/ход
motivate,мотивировать
motor,мотор/двигатель
mount,монтировать/гора
mountain,гора
mouse,мышь
mouth,рот
move,двигаться/переезжать
movement,движение
movie,фильм
much,много/значительно
murder,убийство/убивать
muscle,мускул/мышца
museum,музей
music,музыка
musical,музыкальный
must,должен/обязан
my,мой
myself,себя/сам
mystery,тайна/загадка
nail,ноготь/гвоздь
name,имя/называть
narrow,узкий/сужать
nation,нация/народ
national,национальный
native,родной/уроженец
natural,естественный/природный
naturally,естественно/конечно
nature,природа/сущность
near,близкий/рядом
nearby,поблизости/близлежащий
nearly,почти/приблизительно
neat,аккуратный/опрятный
necessarily,обязательно/непременно
necessary,необходимый
neck,шея
need,нужда/нуждаться
negative,отрицательный/негативный
neighbor/neighbour,сосед
neighborhood/neighbourhood,окрестности/район
neither,ни тот, ни другой/также не
nerve,нерв
nervous,нервный/волнующийся
net,сеть/чистый
network,сеть
never,никогда
nevertheless,тем не менее
new,новый
news,новости
newspaper,газета
next,следующий/рядом
nice,хороший/приятный
night,ночь
no,нет/никакой
nobody,никто
noise,шум
none,ни один/никто
nor,ни
normal,нормальный/обычный
normally,нормально/обычно
north,север/северный
northern,северный
nose,нос
not,не
note,заметка/отмечать
nothing,ничего
notice,замечать/уведомление
notion,понятие/представление
novel,роман/новый
now,сейчас/теперь
nowhere,нигде
nuclear,ядерный
number,число/количество
numerous,многочисленный
nurse,медсестра/няня
object,объект/возражать
objective,цель/объективный
obligation,обязательство
observation,наблюдение
observe,наблюдать
obvious,очевидный
obviously,очевидно
occasion,случай/повод
occasionally,время от времени
occupation,профессия/оккупация
occupy,занимать/оккупировать
occur,происходить/случаться
ocean,океан
odd,странный/нечетный
of,из/о
off,от/выключен
offence/offense,правонарушение/обида
offer,предлагать/предложение
office,офис/должность
officer,офицер/должностное лицо
official,официальный/чиновник
often,часто
oil,масло/нефть
okay/ok,хорошо/нормально
old,старый
on,на/о
once,однажды/один раз
one,один/единица
onion,лук
only,только/единственный
onto,на/в
open,открывать/открытый
opening,открытие/вступление
operate,работать/управлять
operation,операция/действие
operator,оператор
opinion,мнение
opportunity,возможность
oppose,противопоставлять/возражать
opposite,противоположный/напротив
opposition,оппозиция/противодействие
option,вариант/выбор
or,или
orange,апельсин/оранжевый
order,порядок/заказывать
ordinary,обычный/ординарный
organ,орган
organization/organisation,организация
organize/organise,организовывать
origin,происхождение/источник
original,оригинальный/первоначальный
originally,первоначально/изначально
other,другой/иной
otherwise,иначе/в противном случае
ought,должен/следует
our,наш
ours,наш
ourselves,себя/сами
out,из/вне
outcome,результат/исход
output,выход/выпуск
outside,снаружи/внешний
over,над/за
overall,общий/в целом
own,собственный/владеть
owner,владелец
pack,пакет/упаковывать
package,пакет/пакетировать
page,страница
pain,боль
painful,болезненный
paint,краска/рисовать
painting,живопись/картина
pair,пара
palace,дворец
pale,бледный
pan,сковорода/кастрюля
panel,панель/группа
paper,бумага/документ
paragraph,абзац
parallel,параллельный
parent,родитель
park,парк/парковаться
part,часть/роль
participate,участвовать
particular,конкретный/особенный
particularly,особенно/в частности
partly,частично
partner,партнер/супруг
party,вечеринка/партия
pass,проходить/передавать
passage,проход/отрывок
passenger,пассажир
passion,страсть
past,прошлое/мимо
path,тропинка/путь
patient,пациент/терпеливый
pattern,узор/шаблон
pause,пауза/делать паузу
pay,платить/оплата
payment,платеж/оплата
peace,мир/спокойствие
peak,пик/вершина
pen,ручка
penalty,штраф/наказание
pension,пенсия
people,люди/народ
per,в/за
percent/percentage,процент/процентное отношение
perfect,идеальный/совершенный
perfectly,идеально/совершенно
perform,выполнять/играть роль
performance,производительность/выступление
perhaps,возможно
period,период/точка
permanent,постоянный
permission,разрешение
permit,разрешать/разрешение
person,человек/личность
personal,личный/персональный
personality,личность
personally,лично/персонально
persuade,убеждать
pet,домашнее животное
phase,фаза/этап
phenomenon,явление/феномен
philosophy,философия
phone,телефон/звонить
photo/photograph,фотография/фотографировать
phrase,фраза/выражение
physical,физический
piano,пианино
pick,выбирать/собирать
picture,картина/изображение
piece,кусок/часть
pig,свинья
pile,куча/стопка
pilot,пилот
pin,булавка/значок
pink,розовый
pioneer,пионер/первопроходец
pipe,труба/трубка
pitch,подача/поле
place,место/помещать
plain,равнина/простой
plan,план/планировать
plane,самолет/плоскость
planet,планета
plant,растение/завод
plastic,пластик/пластиковый
plate,тарелка/плита
platform,платформа
play,играть/пьеса
player,игрок/плеер
pleasant,приятный
please,пожалуйста/угождать
pleased,довольный
pleasure,удовольствие
plenty,множество/достаток
plot,сюжет/участок
plus,плюс/сложить
pocket,карман
poem,стихотворение
poet,поэт
poetry,поэзия
point,точка/указывать
police,полиция
policy,политика/стратегия
polite,вежливый
political,политический
politician,политик
politics,политика
pollution,загрязнение
pool,бассейн/пул
poor,бедный/плохой
pop,поп/хлопать
popular,популярный
population,население
port,порт
pose,поза/представлять
position,позиция/должность
positive,положительный/позитивный
possess,обладать/владеть
possession,владение/собственность
possibility,возможность
possible,возможный
possibly,возможно
post,почта/после
pot,горшок/котел
potato,картофель
potential,потенциал/потенциальный
pound,фунт/фунт стерлингов
power,сила/власть
powerful,мощный/влиятельный
practical,практический
practice/practise,практика/тренироваться
praise,хвала/хвалить
pray,молиться
precise,точный
predict,предсказывать
prefer,предпочитать
preference,предпочтение
pregnant,беременная
preparation,подготовка
prepare,готовить/подготавливать
presence,присутствие
present,подарок/настоящее время
presentation,презентация/представление
president,президент
press,пресса/нажимать
pressure,давление
pretty,красивый/довольно
prevent,предотвращать
previous,предыдущий
previously,ранее/предварительно
price,цена
pride,гордость
priest,священник
primary,первичный/начальный
prime,главный/первостепенный
prince,принц
princess,принцесса
principal,главный/директор
principle,принцип
print,печатать/отпечаток
prior,предыдущий/prior to - до
priority,приоритет
prison,тюрьма
prisoner,заключенный
private,частный/личный
privilege,привилегия
prize,приз/награда
probably,вероятно
problem,проблема
procedure,процедура
proceed,продолжать/действовать
process,процесс/обрабатывать
produce,производить/продукция
producer,производитель/продюсер
product,продукт/изделие
production,производство
profession,профессия
professional,профессиональный/профессионал
professor,профессор
profit,прибыль/выгода
program/programme,программа/программировать
progress,прогресс/продвигаться
project,проект/проецировать
promise,обещание/обещать
promote,продвигать/содействовать
prompt,быстрый/побуждать
proof,доказательство
proper,правильный/надлежащий
properly,правильно/надлежащим образом
property,собственность/имущество
proportion,пропорция/доля
proposal,предложение/план
propose,предлагать/делать предложение
prospect,перспектива/вид
protect,защищать
protection,защита
protest,протест/протестовать
proud,гордый
prove,доказывать
provide,обеспечивать/предоставлять
provided,при условии
providing,при условии
provision,обеспечение/положение
psychology,психология
pub,паб
public,общественный/публика
publication,публикация/издание
publish,публиковать
pull,тянуть/тащить
punch,удар/бить
punishment,наказание
pupil,ученик/зрачок
purchase,покупка/покупать
pure,чистый
purpose,цель/назначение
push,толкать/нажимать
put,ставить/класть
qualify,квалифицировать
quality,качество
quantity,количество
quarter,четверть/квартал
queen,королева
question,вопрос/сомневаться
quick,быстрый
quickly,быстро
quiet,тихий/спокойный
quietly,тихо
quite,довольно/вполне
quote,цитировать/цитата
race,раса/гонка
radio,радио
rail,рельс/перила
railway,железная дорога
rain,дождь/дождить
raise,поднимать/воспитывать
range,диапазон/ряд
rank,ранг/звание
rapid,быстрый/стремительный
rapidly,быстро
rare,редкий
rarely,редко
rate,ставка/оценивать
rather,скорее/довольно
raw,сырой/необработанный
reach,достигать/досягаемость
react,реагировать
reaction,реакция
read,читать
reader,читатель
reading,чтение
ready,готовый
real,реальный/настоящий
realistic,реалистичный
reality,реальность
realize/realise,осознавать/реализовывать
really,действительно/на самом деле
reason,причина/разум
reasonable,разумный/обоснованный
recall,вспоминать/отзыв
receipt,квитанция/чек
receive,получать
recent,недавний
recently,недавно
reckon,считать/полагать
recognition,узнавание/признание
recognize/recognise,узнавать/признавать
recommend,рекомендовать
record,запись/рекорд
recover,восстанавливаться/выздоравливать
red,красный
reduce,сокращать/уменьшать
reduction,сокращение/уменьшение
refer,ссылаться/отсылать
reference,ссылка/рекомендация
reflect,отражать/обдумывать
reflection,отражение/размышление
refuse,отказываться
region,регион/область
regional,региональный
register,регистр/регистрировать
registration,регистрация
regret,сожаление/сожалеть
regular,регулярный/постоянный
regularly,регулярно
regulation,правило/регулирование
reject,отклонять/отвергать
relate,связывать/относиться
related,связанный/родственный
relation,отношение/связь
relationship,отношения/связь
relative,относительный/родственник
relatively,относительно
relax,расслабляться
release,выпускать/освобождать
relevant,уместный/соответствующий
relief,облегчение/помощь
religion,религия
religious,религиозный
rely,полагаться
remain,оставаться
remark,замечание/замечать
remarkable,замечательный/выдающийся
remember,помнить
remind,напоминать
remote,удаленный/далекий
remove,удалять/убирать
rent,аренда/снимать
repair,ремонт/ремонтировать
repeat,повторять/повторение
replace,заменять
reply,ответ/отвечать
report,отчет/сообщать
represent,представлять
representation,представление
representative,представитель/представительный
reputation,репутация
request,запрос/просить
require,требовать
requirement,требование
rescue,спасать/спасение
research,исследование/исследовать
reserve,резерв/бронировать
resident,житель/резидент
resign,уходить в отставку
resist,сопротивляться
resistance,сопротивление
resolution,решение/разрешение
resolve,решать/разрешать
resort,курорт/прибегать
resource,ресурс
respect,уважение/уважать
respond,отвечать/реагировать
response,ответ/реакция
responsibility,ответственность
responsible,ответственный
rest,отдых/остаток
restaurant,ресторан
restore,восстанавливать
restrict,ограничивать
restriction,ограничение
result,результат/приводить к
retain,сохранять/удерживать
retire,уходить на пенсию
return,возвращаться/возврат
reveal,раскрывать/показывать
revenue,доход/выручка
review,обзор/пересматривать
revolution,революция
reward,награда/вознаграждение
rhythm,ритм
rice,рис
rich,богатый
rid,избавляться
ride,ездить/кататься
right,правый/правильный
ring,кольцо/звонить
rise,подниматься/рост
risk,риск/рисковать
river,река
road,дорога
rob,грабить
rock,скала/рок
role,роль
roll,рулон/катиться
roof,крыша
room,комната/место
root,корень
rose,роза
rough,грубый/примерный
roughly,грубо/примерно
round,круглый/раунд
route,маршрут
routine,рутина/распорядок
row,ряд/грести
royal,королевский
rub,тереть
rubber,резина
rubbish,мусор/ерунда
rude,грубый/невежливый
ruin,разрушать/руины
rule,правило/управлять
run,бежать/управлять
rural,сельский
rush,торопиться/поток
sad,грустный
safe,безопасный/сейф
safety,безопасность
sail,парус/плыть
sale,продажа/распродажа
salt,соль
same,такой же
sample,образец/проба
sand,песок
sandwich,бутерброд/сэндвич
satisfaction,удовлетворение
satisfy,удовлетворять
save,сохранять/экономить
saving,экономия/сбережения
say,говорить
scale,масштаб/шкала
scene,сцена/место происшествия
schedule,расписание/график
scheme,схема/план
school,школа
science,наука
scientific,научный
scientist,ученый
score,счет/очко
scream,кричать/крик
screen,экран/ширма
sea,море
search,поиск/искать
season,сезон/время года
seat,сиденье/место
second,второй/секунда
secondary,вторичный/средний
secret,секрет/тайный
secretary,секретарь
section,раздел/секция
sector,сектор/отрасль
secure,безопасный/защищать
security,безопасность/охрана
see,видеть
seed,семя/семена
seek,искать/стремиться
seem,казаться
select,выбирать/отбирать
selection,выбор/отбор
self,сам/себя
sell,продавать
send,отправлять
senior,старший/пожилой
sense,смысл/чувство
sensible,разумный/благоразумный
sensitive,чувствительный
sentence,предложение/приговор
separate,отдельный/отделять
sequence,последовательность/серия
series,сериал/серия
serious,серьезный
seriously,серьезно
servant,слуга
serve,служить/подавать
service,услуга/сервис
session,сессия/заседание
set,набор/устанавливать
settle,улаживать/поселяться
settlement,поселение/урегулирование
several,несколько
severe,серьезный/суровый
sex,пол/секс
sexual,сексуальный
shadow,тень
shake,трясти/пожатие
shall,должен/будет
shape,форма/формировать
share,делиться/акция
sharp,острый/резкий
she,она
sheep,овца
sheet,лист/простыня
shelf,полка
shell,ракушка/оболочка
shelter,убежище/укрытие
shift,смена/сдвигать
shine,сиять/блестеть
ship,корабль/судно
shirt,рубашка
shock,шок/потрясать
shoe,туфля/ботинок
shoot,стрелять/снимать
shop,магазин/покупать
short,короткий/невысокий
shot,выстрел/снимок
should,должен/следует
shoulder,плечо
shout,кричать/крик
show,показывать/шоу
shower,душ/ливень
shut,закрывать
sick,больной/тошнить
side,сторона/бок
sight,зрение/вид
sign,знак/подписывать
signal,сигнал
signature,подпись
significance,значение/важность
significant,значительный/важный
silence,тишина/молчание
silent,тихий/молчаливый
silly,глупый
silver,серебро/серебряный
similar,похожий/аналогичный
simple,простой
simply,просто/просто-напросто
since,с/так как
sing,петь
single,одинокий/единственный
sink,раковина/тонуть
sir,сэр
sister,сестра
sit,сидеть
site,сайт/место
situation,ситуация/положение
size,размер
skill,навык/умение
skin,кожа
skirt,юбка
sky,небо
sleep,спать/сон
slice,ломтик/кусок
slide,скользить/слайд
slight,незначительный/легкий
slightly,слегка/немного
slip,скользить/проскальзывать
slow,медленный/замедлять
small,маленький
smart,умный/стильный
smell,запах/нюхать
smile,улыбка/улыбаться
smoke,дым/курить
smooth,гладкий/плавный
snake,змея
snow,снег/снег идет
so,так/итак
soap,мыло
social,социальный/общественный
society,общество
sock,носок
soft,мягкий
software,программное обеспечение
soil,почва/земля
soldier,солдат
solid,твердый/прочный
solution,решение/раствор
solve,решать
some,некоторый/несколько
somebody,кто-то
somehow,как-то/так или иначе
someone,кто-то
something,что-то
sometimes,иногда
somewhat,до некоторой степени
somewhere,где-то
son,сын
song,песня
soon,скоро/вскоре
sorry,извините/жаль
sort,вид/сортировать
soul,душа
sound,звук/здоровый
soup,суп
source,источник
south,юг/южный
southern,южный
space,пространство/космос
speak,говорить
speaker,оратор/динамик
special,особенный/специальный
specialist,специалист
species,вид/разновидность
specific,конкретный/определенный
specifically,конкретно/специально
speech,речь/выступление
speed,скорость/ускорять
spell,произносить по буквам/заклинание
spend,тратить/проводить время
spin,вращаться/крутить
spirit,дух/настроение
spiritual,духовный
spite,злоба/in spite of - несмотря на
split,разделять/трещина
sponsor,спонсор/спонсировать
sport,спорт
spot,пятно/место
spread,распространять/разворот
spring,весна/источник
square,площадь/квадратный
stable,стабильный/устойчивый
staff,персонал/штат
stage,этап/сцена
stain,пятно/пачкать
stair,лестница
stamp,марка/штамп
stand,стоять/стенд
standard,стандарт/стандартный
star,звезда
stare,пялиться/пристальный взгляд
start,начало/начинать
state,государство/состояние
statement,заявление/утверждение
station,станция/вокзал
status,статус/положение
stay,оставаться/пребывание
steady,устойчивый/постоянный
steal,красть
steel,сталь
step,шаг/ступать
stick,палка/прилипать
sticky,липкий/клейкий
stiff,жесткий/тугой
still,все еще/тихий
stir,размешивать/шевелить
stock,запас/акции
stomach,желудок
stone,камень
stop,останавливать/остановка
store,магазин/хранить
storm,шторм/буря
story,история/рассказ
straight,прямой/прямо
strange,странный
stranger,незнакомец
strategy,стратегия
street,улица
strength,сила
strengthen,укреплять
stress,стресс/подчеркивать
stretch,растягивать/растяжение
strike,удар/бастовать
string,струна/нитка
strip,полоса/раздевать
stroke,удар/поглаживать
strong,сильный
structure,структура/сооружение
struggle,борьба/бороться
student,студент/ученик
studio,студия
study,изучение/учиться
stuff,вещи/наполнять
stupid,глупый
style,стиль
subject,тема/предмет
submit,представлять/подчиняться
substance,вещество/сущность
substantial,существенный/значительный
succeed,преуспевать/следовать за
success,успех
successful,успешный
such,такой/таким образом
suck,сосать
sudden,внезапный
suddenly,внезапно
suffer,страдать
sufficient,достаточный
sugar,сахар
suggest,предлагать/намекать
suggestion,предложение/намек
suit,костюм/подходить
suitable,подходящий
sum,сумма/суммировать
summer,лето
sun,солнце
supply,поставка/поставлять
support,поддержка/поддерживать
supporter,сторонник/болельщик
suppose,предполагать
sure,уверенный/конечно
surface,поверхность
surgery,хирургия/операция
surprise,сюрприз/удивлять
surround,окружать
survey,опрос/обследование
survive,выживать
suspect,подозревать/подозреваемый
swim,плавать
swing,качание/качели
switch,переключатель/переключать
symbol,символ
system,система
table,стол
tackle,решать/борьба
tail,хвост
take,брать/взять
talk,разговор/говорить
tall,высокий
tank,танк/бак
tap,кран/постукивать
tape,лента/записывать
target,цель/мишень
task,задача
taste,вкус/пробовать
tax,налог/налогообложение
tea,чай
teach,учить/преподавать
teacher,учитель
team,команда
tear,слеза/рвать
technical,технический
technique,техника/метод
technology,технология
telephone,телефон/звонить
television/TV,телевидение/телевизор
tell,рассказывать/говорить
temperature,температура
temporary,временный
tend,иметь тенденцию/ухаживать
tender,нежный/тендер
tennis,теннис
tense,напряженный/время
tent,палатка
term,термин/срок
terrible,ужасный
test,тест/проверять
text,текст
than,чем
thank,благодарить/спасибо
that,тот/что
the,определенный артикль
theatre/theater,театр
their,их
theirs,их
them,их/им
theme,тема
themselves,себя/сами
then,тогда/затем
theory,теория
there,там/туда
therefore,поэтому/следовательно
these,эти
they,они
thick,толстый/густой
thin,тонкий/худой
thing,вещь
think,думать
this,этот/это
those,те
though,хотя/однако
thought,мысль
threat,угроза
threaten,угрожать
through,через/сквозь
throughout,по всему/на протяжении
throw,бросать
thus,таким образом/следовательно
ticket,билет
tidy,аккуратный/прибирать
tie,галстук/связывать
tight,тугой/плотный
till,до/пока
time,время
tiny,крошечный
tip,совет/чаевые
tire,уставать/шина
tired,уставший
title,название/титул
to,к/в
today,сегодня
toe,палец ноги
together,вместе
toilet,туалет
told,рассказал/сказал
tomorrow,завтра
tone,тон/оттенок
tongue,язык
tonight,сегодня вечером
too,тоже/слишком
tool,инструмент
tooth,зуб
top,верх/лучший
topic,тема
total,общий/сумма
totally,полностью
touch,прикасаться/прикосновение
tough,жесткий/сложный
tour,тур/путешествие
tourist,турист
toward/towards,к/по направлению к
tower,башня
town,город
toy,игрушка
track,след/трек
trade,торговля/торговать
tradition,традиция
traditional,традиционный
traffic,движение/трафик
train,поезд/тренировать
training,тренировка/обучение
transfer,перевод/переводить
transform,трансформировать
transition,переход
translate,переводить
transport,транспорт/перевозить
trap,ловушка/ловить в ловушку
travel,путешествовать/путешествие
treat,обращаться/лечить
treatment,лечение/обращение
tree,дерево
trend,тенденция/тренд
trial,испытание/судебный процесс
trick,трюк/обманывать
trip,поездка/спотыкаться
troop,войска/отряд
trouble,проблема/беспокоить
truck,грузовик
true,правда/истинный
trust,доверие/доверять
truth,правда/истина
try,пытаться/пробовать
tube,трубка/метро
tune,мелодия/настраивать
turn,поворачивать/очередь
twice,дважды
twin,близнец
twist,крутить/изгиб
type,тип/печатать
typical,типичный
tyre/tire,шина
ugly,уродливый
ultimate,окончательный/предельный
unable,неспособный
uncertain,неопределенный
uncle,дядя
under,под/ниже
understand,понимать
understanding,понимание
unfortunately,к сожалению
uniform,униформа/единообразный
union,союз/объединение
unique,уникальный
unit,единица/блок
unite,объединять
united,объединенный
unity,единство
universal,универсальный
universe,вселенная
university,университет
unknown,неизвестный
unless,если не
unlike,в отличие от
unlikely,маловероятный
until,до/пока не
unusual,необычный
up,вверх/наверх
upon,на/о
upper,верхний
upset,расстроенный/расстраивать
urban,городской/урбанистический
urge,побуждать/стремление
urgent,срочный
us,нас/нам
use,использовать/использование
used,использованный/привыкший
useful,полезный
user,пользователь
usual,обычный
usually,обычно
vacation,отпуск/каникулы
valley,долина
valuable,ценный
value,ценность/значение
van,фургон
variable,переменная/изменчивый
variation,вариация/изменение
variety,разнообразие
various,различный
vary,варьироваться
vast,огромный
vegetable,овощ
vehicle,транспортное средство
version,версия
very,очень/тот самый
via,через/посредством
victim,жертва
victory,победа
video,видео
view,вид/мнение
village,деревня
violence,насилие
violent,жестокий
virtual,виртуальный
virus,вирус
visible,видимый
vision,зрение/видение
visit,посещать/визит
visitor,посетитель
visual,визуальный
vital,жизненно важный
voice,голос
volume,объем/том
vote,голосовать/голосование
wage,заработная плата
wait,ждать/ожидание
wake,просыпаться/будить
walk,ходить/прогулка
wall,стена
want,хотеть/желание
war,война
warm,теплый/греть
warn,предупреждать
wash,мыть/стирать
waste,отходы/тратить впустую
watch,смотреть/часы
water,вода/поливать
wave,волна/махать
way,способ/путь
we,мы
weak,слабый
weakness,слабость
wealth,богатство
weapon,оружие
wear,носить/износ
weather,погода
web,веб-паутина
website,веб-сайт
wedding,свадьба
week,неделя
weekend,выходные
weight,вес
welcome,добро пожаловать/приветствовать
welfare,благосостояние
well,хорошо/колодец
west,запад/западный
western,западный
wet,мокрый/влажный
what,что/какой
whatever,что бы ни/любой
wheel,колесо
when,когда
whenever,всякий раз когда
where,где/куда
whereas,тогда как
whether,ли/whether...or - ли...или
which,который/какой
while,в то время как/пока
whisper,шептать/шепот
white,белый
who,кто/который
whole,целый/весь
whom,кого/кому
whose,чей
why,почему
wide,широкий
widely,широко
wife,жена
wild,дикий
will,воля/будет
win,побеждать/выигрывать
wind,ветер/наматывать
window,окно
wine,вино
wing,крыло
winner,победитель
winter,зима
wipe,вытирать/салфетка
wire,провод
wise,мудрый
wish,желать/желание
with,с/при
withdraw,снимать/отзывать
within,в пределах/внутри
without,без
witness,свидетель/свидетельствовать
woman,женщина
wonder,удивляться/чудо
wonderful,замечательный
wood,дерево/лес
wooden,деревянный
word,слово
work,работа/работать
worker,работник
working,рабочий/работа
world,мир
worried,обеспокоенный
worry,беспокоиться/беспокойство
worth,стоимость/стоящий
would,бы/стал
wound,рана/ранить
wrap,заворачивать/обертывать
write,писать
writer,писатель
writing,письмо/написание
wrong,неправильный/неверный
yard,двор/ярд
yeah,да
year,год
yellow,желтый
yes,да
yesterday,вчера
yet,еще/однако
yield,уступать/урожай
you,ты/вы
young,молодой
your,твой/ваш
yours,твой/ваш
yourself,себя/сам
youth,молодежь/юность
zone,зона
